,date,month,year,visitors,origin
24,01-01-2016,January,2016,1122510.0,0
25,01-02-2016,February,2016,778748.0,0
26,01-03-2016,March,2016,1017794.0,0
27,01-04-2016,April,2016,1127738.0,0
28,01-05-2016,May,2016,1287181.0,0
29,01-06-2016,June,2016,12032661.0,0
30,01-07-2016,July,2016,1096754.0,0
31,01-08-2016,August,2016,1061137.0,0
32,01-09-2016,September,2016,832987.0,0
33,01-10-2016,October,2016,901960.0,0
34,01-11-2016,November,2016,909733.0,0
35,01-12-2016,December,2016,1225502.0,0
396,01-01-2017,January,2017,1924695.0,0
397,01-02-2017,February,2017,1886698.0,0
398,01-03-2017,March,2017,1783903.0,0
399,01-04-2017,April,2017,2366793.0,0
400,01-05-2017,May,2017,2266793.0,0
401,01-06-2017,June,2017,2007060.0,0
402,01-07-2017,July,2017,1890870.0,0
403,01-08-2017,August,2017,1976980.0,0
404,01-09-2017,September,2017,2011280.0,0
405,01-10-2017,October,2017,2202316.0,0
406,01-11-2017,November,2017,1971438.0,0
407,01-12-2017,December,2017,4871416.0,0
768,01-01-2018,January,2018,1978396.0,0
769,01-02-2018,February,2018,1365837.0,0
770,01-03-2018,March,2018,1415938.0,0
771,01-04-2018,April,2018,1586375.0,0
772,01-05-2018,May,2018,1189492.0,0
773,01-06-2018,June,2018,1595067.0,0
774,01-07-2018,July,2018,1470042.0,0
775,01-08-2018,August,2018,1591470.0,0
776,01-09-2018,September,2018,1508086.0,0
777,01-10-2018,October,2018,2207478.0,0
778,01-11-2018,November,2018,1671320.0,0
779,01-12-2018,December,2018,1964150.0,0
1140,01-01-2019,January,2019,1426500.0,0
1141,01-02-2019,February,2019,983147.0,0
1142,01-03-2019,March,2019,1009991.0,0
1143,01-04-2019,April,2019,1045933.0,0
1144,01-05-2019,May,2019,1305748.0,0
1145,01-06-2019,June,2019,1262995.0,0
1146,01-07-2019,July,2019,1094861.0,0
1147,01-08-2019,August,2019,1121380.0,0
1148,01-09-2019,September,2019,959930.0,0
1149,01-10-2019,October,2019,1240643.0,0
1150,01-11-2019,November,2019,1073665.0,0
1151,01-12-2019,December,2019,1277569.0,0
24,01-01-2016,January,2016,15865.0,1
25,01-02-2016,February,2016,29646.0,1
26,01-03-2016,March,2016,13019.0,1
27,01-04-2016,April,2016,8402.0,1
28,01-05-2016,May,2016,8522.0,1
29,01-06-2016,June,2016,10284.0,1
30,01-07-2016,July,2016,17142.0,1
31,01-08-2016,August,2016,12842.0,1
32,01-09-2016,September,2016,9397.0,1
33,01-10-2016,October,2016,12808.0,1
34,01-11-2016,November,2016,8084.0,1
35,01-12-2016,December,2016,17620.0,1
396,01-01-2017,January,2017,19286.0,1
397,01-02-2017,February,2017,18097.0,1
398,01-03-2017,March,2017,13875.0,1
399,01-04-2017,April,2017,12996.0,1
400,01-05-2017,May,2017,12983.0,1
401,01-06-2017,June,2017,12486.0,1
402,01-07-2017,July,2017,18144.0,1
403,01-08-2017,August,2017,16985.0,1
404,01-09-2017,September,2017,27856.0,1
405,01-10-2017,October,2017,26368.0,1
406,01-11-2017,November,2017,29170.0,1
407,01-12-2017,December,2017,38933.0,1
768,01-01-2018,January,2018,35379.0,1
769,01-02-2018,February,2018,30414.0,1
770,01-03-2018,March,2018,27535.0,1
771,01-04-2018,April,2018,20830.0,1
772,01-05-2018,May,2018,21554.0,1
773,01-06-2018,June,2018,24677.0,1
774,01-07-2018,July,2018,17456.0,1
775,01-08-2018,August,2018,31217.0,1
776,01-09-2018,September,2018,22809.0,1
777,01-10-2018,October,2018,30072.0,1
778,01-11-2018,November,2018,23487.0,1
779,01-12-2018,December,2018,29358.0,1
1140,01-01-2019,January,2019,35920.0,1
1141,01-02-2019,February,2019,25621.0,1
1142,01-03-2019,March,2019,21929.0,1
1143,01-04-2019,April,2019,18267.0,1
1144,01-05-2019,May,2019,17317.0,1
1145,01-06-2019,June,2019,20077.0,1
1146,01-07-2019,July,2019,27874.0,1
1147,01-08-2019,August,2019,22725.0,1
1148,01-09-2019,September,2019,34018.0,1
1149,01-10-2019,October,2019,28706.0,1
1150,01-11-2019,November,2019,32762.0,1
1151,01-12-2019,December,2019,34084.0,1
