district,visitor,Population
Adilabad,0.775919,0.708972
Bhadradri Kothagudem ,12.817737,1.069261
Hyderabad,14.121662,3.943323
Jagtial ,3.086115,0.985417
Jangaon ,0.32889,0.566376
Jayashankar Bhoopalpally,0.662575,0.416763
Jogulamba Gadwal ,2.00829,0.60999
Kamareddy ,0.000534,0.972625
Karimnagar ,0.077491,1.005711
Khammam,1.41344,1.401639
Komaram Bheem Asifabad,0.019189,0.515812
Mahabubabad ,0.152885,0.774549
Mahbubnagar,2.535255,0.919903
Mancherial,0.26993,0.807037
Medak ,5.45257,0.767428
Mulugu,1.820375,0.257744
Nagarkurnool ,2.093511,0.893308
Nalgonda,0.140918,1.618416
Narayanpet,0.389305,0.566874
Nirmal,3.816778,0.709418
Nizamabad,0.046345,1.571022
Peddapalli,0.016581,0.795332
Rajanna Sircilla ,16.832897,0.552037
Sangareddy ,4.55316,1.527628
Siddipet,2.987864,1.012065
Wanaparthy ,0.298639,0.577758
Warangal (Rural),0.3535,0.718537
Warangal (Urban),1.79768,1.080858
Yadadri Bhongir,4.489374,0.739448
